hostname,error_count,priority,node_id,version,hostaddr,task_name,status,error_message,progress,task_params,time_disconnected,time_connected,batch_id,error_batch_id,error_time
sme2d-1-0.local,0,0,0,1.4.5.7354,67.58.52.101:33104,,offline,,0.0,{},1560371219,1560355572,-1,-1,0.0
sme2d-0-0.local,0,0,1,1.4.5.7354,67.58.52.99:33332,,offline,,0.0,{},1560371269,1560355572,-1,-1,0.0
sme2d-0-1.local,0,0,2,1.4.5.7354,67.58.52.100:49031,,offline,,0.0,{},1561180410,1560355572,-1,-1,0.0
sme2d.local,0,0,3,1.4.5.7354,67.58.52.98:49933,,offline,,0.0,{},1560371025,1560355573,-1,-1,0.0
sme2d-1-1.local,0,0,4,1.4.5.7354,67.58.52.102:57115,,offline,,0.0,{},1561180409,1560355573,-1,-1,0.0
cisa3-sfm3,0,0,5,1.4.5.7354,137.110.116.84:33673,,offline,,0.0,{},1560371785,1560355714,-1,-1,0.0
cisa3-sfm2,0,0,6,1.4.5.7354,137.110.116.7:44206,,offline,,0.0,{},1560371951,1560356204,-1,-1,0.0
eklo-ws,0,0,7,1.4.5.7354,67.58.52.152:53064,,offline,,0.0,{},1560357391,1560356332,-1,-1,0.0
wavelet2-0,0,0,8,1.4.5.7354,67.58.52.148:44198,,offline,,0.0,{},1560357285,1560357219,-1,-1,0.0
wavelet2-0,420,0,9,1.4.5.7354,67.58.52.148:44202,,offline,Can't open file: No such file or directory (2): /home/eklo/eric/fiona4/field/alaska_eq_2018/xiang/drone/output/minerva.psx,0.0,{},1560358132,1560357380,-1,0,1560358089.0
eklo-ws,0,0,10,1.4.5.7354,67.58.52.152:53226,,offline,,0.0,{},1560371979,1560357427,-1,-1,0.0
wavelet2-0,0,0,11,1.4.5.7354,67.58.52.148:44204,,offline,,0.0,{},1560372040,1560358146,-1,-1,0.0
sme2d.local,0,0,12,1.4.5.7354,67.58.52.98:49953,,offline,,0.0,{},1560371105,1560371101,-1,-1,0.0
sme2d.local,0,0,13,1.4.5.7354,67.58.52.98:49954,,offline,,0.0,{},1560371144,1560371127,-1,-1,0.0
sme2d.local,0,0,14,1.4.5.7354,67.58.52.98:49955,,offline,,0.0,{},1561180410,1560371148,-1,-1,0.0
sme2d-1-0.local,0,0,15,1.4.5.7354,67.58.52.101:33105,,offline,,0.0,{},1561180410,1560371259,-1,-1,0.0
sme2d-0-0.local,0,0,16,1.4.5.7354,67.58.52.99:33333,,offline,,0.0,{},1560371362,1560371347,-1,-1,0.0
sme2d-0-0.local,0,0,17,1.4.5.7354,67.58.52.99:33334,,offline,,0.0,{},1561180409,1560371439,-1,-1,0.0
cisa3-sfm3,1,0,18,1.4.5.7354,137.110.116.84:39067,,offline,Aborted by user,0.0,{},1561940693,1560371877,-1,19,1561412565.0
cisa3-sfm2,1,0,19,1.4.5.7354,137.110.116.7:44208,,offline,Aborted by user,0.0,{},1561414466,1560371964,-1,19,1561412565.0
eklo-ws,0,0,20,1.4.5.7354,67.58.52.152:53446,,offline,,0.0,{},1561148557,1560371983,-1,-1,0.0
wavelet2-0,0,0,21,1.4.5.7354,67.58.52.148:44238,,offline,,0.0,{},1561180409,1560372041,-1,-1,0.0
chei-ws2,0,0,22,1.4.5.7354,67.58.52.138:15138,,offline,,0.0,{},1561180409,1560658600,-1,-1,0.0
chei-ws2,1,0,23,1.4.5.7354,67.58.52.138:33786,,offline,Aborted by user,0.0,{},1561574017,1561181081,-1,19,1561412568.0
wavelet2-0,1,0,24,1.4.5.7354,67.58.52.148:45920,,offline,Aborted by user,0.0,{},1561574017,1561181121,-1,19,1561412565.0
sme2d-1-1.local,3,0,25,1.4.5.7354,67.58.52.102:57116,,offline,Aborted by user,0.0,{},1561414256,1561181226,-1,19,1561412565.0
sme2d.local,75,0,26,1.4.5.7354,67.58.52.98:50920,,offline,Aborted by user,0.0,{},1561414032,1561181227,-1,19,1561412565.0
sme2d-0-0.local,1,0,27,1.4.5.7354,67.58.52.99:33335,,offline,Aborted by user,0.0,{},1561414314,1561181228,-1,19,1561412566.0
sme2d-0-1.local,1,0,28,1.4.5.7354,67.58.52.100:49032,,offline,Aborted by user,0.0,{},1561414351,1561181230,-1,19,1561412566.0
sme2d-1-0.local,1,0,29,1.4.5.7354,67.58.52.101:33106,,offline,Aborted by user,0.0,{},1561414387,1561181230,-1,19,1561412565.0
sme2d.local,0,0,30,1.4.5.7354,67.58.52.98:51181,,offline,,0.0,{},1561574017,1561414058,-1,-1,0.0
sme2d-1-1.local,0,0,31,1.4.5.7354,67.58.52.102:57117,,offline,,0.0,{},1561574017,1561414266,-1,-1,0.0
sme2d-0-0.local,0,0,32,1.4.5.7354,67.58.52.99:33336,,offline,,0.0,{},1561574017,1561414326,-1,-1,0.0
sme2d-0-1.local,0,0,33,1.4.5.7354,67.58.52.100:49033,,offline,,0.0,{},1561574017,1561414354,-1,-1,0.0
sme2d-1-0.local,0,0,34,1.4.5.7354,67.58.52.101:33107,,offline,,0.0,{},1561574017,1561414391,-1,-1,0.0
cisa3-sfm2,0,0,35,1.4.5.7354,137.110.116.7:44704,,offline,,0.0,{},1561485907,1561485900,-1,-1,0.0
cisa3-sfm2,0,0,36,1.4.5.7354,137.110.116.7:44706,,offline,,0.0,{},1561940672,1561485921,-1,-1,0.0
chei-ws2,0,0,37,1.4.5.7354,67.58.52.138:48260,,offline,,0.0,{},1561586672,1561574834,-1,-1,0.0
